,Rank,University,Location,Country,Overall Score,IRN,H-index,Citations Per Paper,Academic Reputation,Employer Reputation
272,271,Nanjing University,Nanjing,China (Mainland),66,46.5,67.4,90.4,67.3,60.5
273,271,National Tsing Hua University,Hsinchu City,Taiwan,66,26.3,55.9,72.2,66.8,72.2
274,271,"University of California, Irvine",Irvine,United States,66,53.2,84.1,90.6,66.5,56.6
275,276,Bogaziçi Üniversitesi,Istanbul,Turkey,65.9,30.3,57.7,71.3,66.0,72.3
276,276,Kyung Hee University,South Korea,South Korea,65.9,52.4,66.3,87.5,66.5,61.6
277,276,University College Cork,Cork,Ireland,65.9,54.2,67.4,82.0,62.1,69.8
278,276,Ural Federal University - UrFU,Ekaterinburg,Russia,65.9,51.3,57.7,60.1,65.8,72.1
279,280,Vanderbilt University,Nashville,United States,65.8,54.6,87.6,92.3,64.9,57.1
280,281,University of Illinois at Chicago (UIC),Chicago,United States,65.7,53.8,78.0,87.3,64.1,61.9
281,282,University of Cologne,Cologne,Germany,65.6,47.9,77.3,86.9,69.4,53.8
282,283,Qatar University,Doha,Qatar,65.5,59.9,62.4,81.0,59.9,72.7
283,284,The American University in Cairo,Cairo,Egypt,65.4,29.8,51.8,54.0,66.6,75.6
284,285,Aston University,Birmingham,United Kingdom,65.3,62.3,72.5,90.2,65.1,58.1
285,285,Lahore University of Management Sciences (LUMS),Lahore,Pakistan,65.3,30.3,46.8,50.0,70.0,71.6
286,285,Rheinische Friedrich-Wilhelms-Universität Bonn,Bonn,Germany,65.3,61.5,67.4,84.1,71.1,51.1
287,285,Simon Fraser University,Burnaby,Canada,65.3,54.7,75.8,86.0,66.7,56.8
288,289,National Yang Ming Chiao Tung University,Hsinchu City,Taiwan,65.2,26.3,59.4,79.0,65.2,69.8
289,290,National University of Ireland Galway,Galway,Ireland,65.1,53.7,68.5,84.3,60.9,68.5
290,290,Universitat de Valencia,València,Spain,65.1,64.3,78.0,84.6,63.9,59.0
291,290,University of Limerick,Limerick,Ireland,65.1,48.3,72.5,85.1,61.3,67.4
292,293,Al-Farabi Kazakh National University,Almaty,Kazakhstan,65,22.5,40.3,44.7,71.9,71.9
293,293,National Taiwan Normal University,Taipei City,Taiwan,65,40.5,65.1,82.9,67.0,61.4
294,293,University of Pittsburgh,Pittsburgh,United States,65,61.4,84.7,90.2,64.9,54.5
295,293,Virginia Polytechnic Institute and State University,Blacksburg,United States,65,72.4,75.8,85.5,62.5,60.0
296,293,Washington University in St. Louis,St. Louis,United States,65,59.9,75.0,88.8,66.9,54.2
297,298,City University of New York,New York City,United States,64.9,54.8,84.7,81.2,62.2,62.0
298,298,North South University,Dhaka,Bangladesh,64.9,25.2,46.8,44.4,59.2,90.5
299,298,Universiti Teknologi MARA - UiTM,Shah Alam,Malaysia,64.9,35.2,57.7,63.7,64.2,73.1
300,298,University of Ottawa,Ottawa,Canada,64.9,69.6,80.0,84.3,61.3,61.4
301,302,Cranfield University,Bedford,United Kingdom,64.8,48,67.4,91.5,62.0,65.0
302,303,University of Lisbon,Lisbon ,Portugal,64.7,76.9,75.8,81.6,64.3,56.3
303,303,"University of Rome ""Tor Vergata""",Rome,Italy,64.7,36.2,65.1,82.3,64.9,64.6
304,303,University of Waikato,Hamilton ,New Zealand,64.7,64.6,67.4,83.5,65.5,57.9
305,306,emlyon business school,Lyon,France,64.6,49.4,55.9,73.4,68.0,61.6
306,306,Swansea University,Swansea,United Kingdom,64.6,59.5,72.5,88.1,60.6,64.2
307,306,University of Trento,Trento,Italy,64.6,52.7,68.5,83.8,64.5,61.0
308,309,McMaster University,Hamilton,Canada,64.5,61,76.6,84.9,62.0,61.2
309,310,Aalborg University,Aalborg,Denmark,64.4,78.8,69.6,85.0,61.5,60.5
310,310,Kobe University,Kobe City,Japan,64.4,30.8,55.9,71.2,69.6,61.8
311,310,University of Kent,Canterbury,United Kingdom,64.4,69.6,80.0,88.8,65.0,52.4
312,310,Université du Québec,Québec,Canada,64.4,60.3,75.0,82.1,64.2,58.4
313,314,BI Norwegian Business School,Oslo,Norway,64.3,42,71.5,83.9,71.9,48.8
